id,host_id,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15495441,4579626,158.0,45.0,2019-03-07,1.36,2,45
7534543,12215421,158.0,60.0,2019-02-01,1.26,1,275
8319488,43126563,158.0,70.0,2019-02-01,1.51,1,300
856918,4481005,158.0,11.0,2019-02-01,0.14,2,62
8628425,4481005,158.0,43.0,2019-02-01,0.94,2,49
8647773,7374372,158.0,108.0,2019-06-07,2.38,1,149
8916960,46632214,158.0,40.0,2019-02-01,0.89,1,150
8931635,5641193,158.0,59.0,2019-02-01,1.31,1,140
9007591,25344446,158.0,32.0,2019-02-01,0.71,2,105
9147431,25344446,158.0,26.0,2019-02-01,0.59,2,125
17694203,50755667,158.0,6.0,2019-02-01,0.23,3,85
9861323,50755667,158.0,71.0,2019-02-01,2.12,3,120
19567443,50755667,158.0,83.0,2019-02-01,3.51,3,200
9996642,50865592,158.0,133.0,2019-02-01,3.23,1,85
10068386,49905246,158.0,89.0,2019-02-01,2.11,1,140
10525616,14076423,158.0,43.0,2018-01-08,1.07,1,175
10595000,16919131,158.0,56.0,2019-02-01,1.34,1,90
12344456,40040638,158.0,67.0,2019-02-01,1.77,1,132
12623332,11732822,158.0,33.0,2019-02-01,0.87,1,160
13113906,72923241,158.0,68.0,2019-10-06,1.97,1,109
13153265,41084247,158.0,31.0,2019-02-01,0.86,1,175
13155269,62660832,158.0,42.0,2019-12-05,1.11,1,150
13990841,83523066,158.0,103.0,2019-02-01,2.94,2,130
14616377,83523066,158.0,120.0,2019-11-06,3.51,2,170
14055238,84303682,158.0,144.0,2019-02-01,4.04,1,240
14058880,9273392,158.0,75.0,2019-02-01,2.1,1,100
14383928,63365572,158.0,143.0,2019-02-01,4.11,1,154
14706784,26538766,158.0,46.0,2018-03-02,1.38,2,78
16914299,26538766,158.0,5.0,2018-10-04,0.18,2,120
14728630,8066318,158.0,33.0,2019-02-01,0.96,1,141
14968000,24805685,158.0,117.0,2019-08-07,3.41,1,218
15529123,8940513,158.0,43.0,2019-12-06,1.36,1,198
15581948,66602200,158.0,131.0,2019-02-01,3.97,1,100
15936959,5407657,158.0,48.0,2019-02-01,1.52,1,110
15952447,97148702,158.0,104.0,2019-02-01,3.28,1,185
16145871,30826993,158.0,54.0,2019-02-01,1.72,1,250
16490732,107933494,158.0,17.0,2019-02-01,0.6,2,260
16454273,107933494,158.0,33.0,2019-02-01,1.15,2,165
16736830,4547658,158.0,119.0,2019-05-07,4.08,1,275
17370778,1339545,158.0,125.0,2019-02-01,4.51,2,120
26874462,1339545,158.0,28.0,2019-02-01,2.58,2,150
17552185,117035626,158.0,97.0,2019-03-07,3.68,1,115
17638709,119967955,158.0,86.0,2019-01-07,3.14,1,60
18037392,124082275,158.0,73.0,2019-02-01,2.69,1,159
18386915,32706119,158.0,86.0,2019-10-06,3.24,2,120
13507377,32706119,158.0,39.0,2019-02-01,1.07,2,190
18499050,351465,158.0,60.0,2019-02-01,2.29,1,190
18521860,7797101,158.0,67.0,2019-02-07,2.88,1,180
18719526,20662116,158.0,41.0,2019-02-01,1.63,1,165
18946105,127681510,158.0,80.0,2019-06-07,3.43,1,200
19139564,133787072,158.0,96.0,2019-02-01,3.9,1,120
19305374,6179439,158.0,57.0,2019-02-01,2.32,1,226
19308387,40755122,158.0,105.0,2019-02-01,4.23,1,150
19731225,71097702,158.0,48.0,2019-09-04,2.07,2,290
20494672,71097702,158.0,50.0,2019-11-06,2.48,2,295
19946195,141359133,158.0,54.0,2019-02-01,2.38,1,97
20305451,48704899,158.0,41.0,2019-02-06,1.84,1,200
20744654,134264127,158.0,77.0,2019-01-07,3.43,1,125
20803845,28341776,158.0,81.0,2019-07-07,3.67,2,100
20804083,28341776,158.0,5.0,2019-02-01,0.23,2,120
20992027,603493,158.0,51.0,2019-02-01,2.33,1,300
21566909,4058709,158.0,41.0,2019-02-01,2.22,2,235
21398486,4058709,158.0,5.0,2019-02-01,0.25,2,165
21577856,141933,158.0,48.0,2019-01-07,2.38,1,250
21752839,82706379,158.0,47.0,2019-02-01,2.39,1,195
21851586,158757567,158.0,42.0,2019-02-01,2.22,1,400
21942984,157788926,158.0,45.0,2019-09-06,2.34,1,199
22294649,6997016,158.0,57.0,2019-02-01,3.08,1,190
25036166,187103481,158.0,39.0,2019-02-01,3.02,1,160
25071168,150440720,158.0,40.0,2019-02-01,2.97,1,125
25379780,187453004,158.0,36.0,2019-01-07,2.71,1,150
25426781,17581024,158.0,41.0,2019-02-01,3.05,2,75
25534630,17581024,181.5,9.0,2019-02-01,0.74,2,150
25734018,34758216,158.0,67.0,2019-02-07,5.19,1,305
26098014,1855509,158.0,92.0,2019-06-07,7.26,1,89
26332468,4694251,158.0,55.0,2019-05-07,4.41,1,229
31931117,815436,158.0,33.0,2019-06-07,6.31,1,135
7771351,40877319,205.0,113.0,2019-06-06,2.42,1,59
17142987,78154356,205.0,94.0,2019-02-01,3.2,1,89
20686134,14469743,205.0,66.0,2019-02-01,3.04,1,80
23018280,10836962,205.0,69.0,2019-02-01,4.21,1,69
1466081,7853251,162.0,190.0,2019-02-01,2.64,5,59
1472009,7853251,162.0,32.0,2019-02-01,0.45,5,59
1600917,7853251,162.0,8.0,2017-11-05,0.12,5,59
1471952,7853251,162.0,14.0,2019-02-01,0.19,5,59
1466534,7853251,162.0,19.0,2019-02-01,0.26,5,59
2028925,10162529,162.0,82.0,2019-01-01,1.37,2,325
3801407,10162529,162.0,11.0,2019-02-01,0.45,2,239
3595554,18108212,162.0,81.0,2019-02-01,1.35,1,108
10185955,14785032,162.0,165.0,2019-02-07,4.64,1,48
16039453,86887132,359.0,13.0,2019-02-01,1.71,2,99
14262383,86887132,162.0,46.0,2019-02-01,1.34,2,100
14499377,89526812,162.0,52.0,2019-02-07,1.93,1,65
13959556,74331597,162.0,28.0,2019-02-01,0.81,5,55
14295885,74331597,162.0,4.0,2019-02-01,0.29,5,59
14982907,74331597,162.0,74.0,2019-11-05,2.16,5,65
15087800,74331597,162.0,98.0,2019-02-01,2.87,5,65
15049253,74331597,162.0,125.0,2019-02-01,3.65,5,70
15569399,96424121,162.0,63.0,2019-05-07,1.91,3,63
15328242,96424121,162.0,71.0,2019-02-01,2.12,3,55
15188738,96424121,162.0,48.0,2019-08-06,1.41,3,85
16578780,31685194,162.0,34.0,2019-02-06,1.16,1,55
20230482,144138036,162.0,54.0,2019-02-01,2.34,1,99
20326252,135373362,162.0,100.0,2019-02-01,4.45,1,80
20814067,149265574,162.0,97.0,2019-06-07,5.23,1,55
20917327,150304209,162.0,59.0,2019-02-01,2.69,1,85
20955493,103477264,162.0,30.0,2019-02-01,1.37,1,45
33521985,160940380,162.0,2.0,2019-02-01,1.58,3,600
22037715,160940380,162.0,39.0,2019-02-01,2.12,3,250
30060926,160940380,162.0,4.0,2019-09-06,0.63,3,250
23131155,45735959,162.0,59.0,2019-02-01,3.49,1,120
27499097,185889529,162.0,71.0,2019-04-07,6.51,3,46
24599452,185889529,162.0,58.0,2019-02-01,4.69,3,50
28391512,185889529,162.0,51.0,2019-02-01,5.1,3,50
26327565,155152907,162.0,31.0,2019-02-01,2.8,2,45
29016907,155152907,162.0,15.0,2019-02-01,1.67,2,45
28367520,214171931,162.0,81.0,2019-02-01,8.02,1,50
28418722,214424497,162.0,32.0,2019-07-07,3.47,1,64
28896148,217621677,359.0,17.0,2019-02-01,1.84,4,51
28866426,217621677,359.0,18.0,2019-01-07,1.96,4,46
28897932,217621677,162.0,30.0,2019-05-07,3.25,4,35
28911775,217621677,162.0,16.0,2019-07-07,1.78,4,50
30046737,225813251,162.0,69.0,2019-02-07,10.67,1,135
30129734,221844597,162.0,63.0,2019-02-01,8.44,1,35
42882,185978,198.5,166.0,2019-02-01,1.66,1,70
2889387,2269517,198.5,234.0,2019-02-01,3.74,1,95
3153140,13530123,198.5,105.0,2019-02-01,1.73,1,195
3743048,19143974,198.5,93.0,2019-06-05,2.1,1,58
5899598,6319915,198.5,118.0,2019-02-01,2.54,2,60
6330321,6319915,198.5,129.0,2019-02-01,2.57,2,89
8589729,45201692,198.5,105.0,2019-02-01,2.3,1,144
15297194,96341353,198.5,60.0,2019-02-01,1.84,3,70
15207725,96341353,198.5,20.0,2019-01-07,0.63,3,110
15178725,96341353,198.5,23.0,2019-02-01,0.78,3,150
17257339,115259709,198.5,59.0,2019-02-01,2.21,1,180
18066269,117492425,198.5,97.0,2019-02-01,3.71,6,72
19878366,117492425,198.5,63.0,2019-03-07,2.78,6,33
20917712,117492425,198.5,61.0,2019-02-01,2.81,6,29
18066733,117492425,198.5,2.0,2019-02-01,0.16,6,289
17383677,117492425,198.5,96.0,2019-01-07,3.42,6,65
22792746,117492425,198.5,0.0,2019-02-01,0.72,6,150
20476779,146178383,198.5,29.0,2019-02-01,1.3,1,68
20729216,148444929,198.5,87.0,2019-06-07,5.08,1,109
21517530,136214003,198.5,108.0,2019-06-07,5.41,1,125
21901025,1483578,198.5,77.0,2019-08-07,3.9,1,100
26889078,199535935,198.5,52.0,2019-02-01,4.6,1,130
17940029,61875246,162.0,84.0,2019-06-07,5.35,2,45
31856192,61875246,162.0,14.0,2019-02-01,4.77,2,65
28983189,164719010,162.0,44.0,2019-07-07,4.93,3,39
29213401,164719010,162.0,35.0,2019-06-07,3.87,3,35
29212737,164719010,162.0,50.0,2019-02-01,5.58,3,49
3609762,18189519,162.0,146.0,2019-02-01,2.46,1,184
4357892,22727798,162.0,85.0,2019-02-01,1.88,1,189
2994659,15266695,158.0,127.0,2019-02-01,2.77,2,43
24022079,15266695,158.0,0.0,2019-02-01,0.72,2,120
4742068,22616989,158.0,52.0,2019-02-01,0.99,1,93
7116071,36903907,158.0,207.0,2019-02-07,4.26,1,145
8002080,42243297,158.0,287.0,2019-06-07,7.31,1,65
10847901,38116129,158.0,39.0,2019-02-01,1.1,1,68
15122925,15239415,158.0,54.0,2019-02-01,1.72,1,100
17958414,123048179,158.0,45.0,2019-02-01,1.65,1,120
